concept_name,concept_title,category,unit,min_value,max_value,description,omop_id,source,table_name,sub_var,val_var,unit_var,index_var,method,match_value,class,dict,typ,ref,clean,conversion,ricu,blended
wbc_tested,White Blood Cell Count,lab,K/uL,,,White blood cell count,,mimiciv,labevents,itemid,valuenum,valueuom,charttime,itemid,51128|51300|51301|51363|51384|51439|51458|51516|51517|51518|51533|51755|51756|52219|52220|52407,itm_itm,d_labitems,ts,ricu,0,none,,
wbc,White Blood Cell Count,hematology,K/uL,0,NA,white blood cell count,4298431,sic,laboratory,LaboratoryID,,,,itemid,301,NA,,ts,ricu,0,none,,
wbc_tested,White Blood Cell Count,lab,K/uL,0,NA,white blood cell count,4298431,eicu_coh,lab,labname,labresult,labmeasurenameinterface,labresultrevisedoffset,regex,WBC x 1000,NA,,ts,ricu,0,none,,
mcv_tested,Mean Corpuscular Volume,lab,,,,,,,,,,,,,51250|51691,,d_labitems,ts,,0,none,check,
rbc_tested,Red Blood Cell Related,lab,,,,,,,,,,,,,51122|51127|51278|51279|51357|51362|51380|51383|51433|51438|51452|51457|51493|51494|51495|52061|52151|52170|52171|52173|52203|52204|52213|52276|52277|52285|52363|53012|53083,,,ts,,0,none,,
bicar_tested,,,,,,,,,,,,,,,50803|50837|50882|51027|51048|51061|51076|51782|51811|52039,,,ts,,0,none,check,
lact_tested,Lactate,lab,,,,,,,,,,,,,50813|50843|50954|51015|51054|51795|51944|52442|53154,,,ts,,0,none,,
hgb_tested,,,,,,,,,,,,,,,50805|50811|50814|50852|50855|51212|51222|51223|51224|51225|51285|51631|51640|51641|51642|51643|51644|51645|51646|51647|52032|52128|52129|52144|52157,,,ts,,0,none,check,
hgb_tested,,,,,,,,eicu_coh,,,,,,,carboxyhemoglobin|methemoglobin|oxyhemoglobin,,,ts,,0,none,,
ca_tested,,,,,,,,,,,,,,,50808|50893|51029|51066|51077|51468|51469|51470|51624|52029|52034|52035,,,ts,,0,none,,
ca_tested,,,,,,,,,,,,,,,calcium|ionized calcium,,,ts,,0,none,,
ck_tested,Creaatine,lab,,,,,,,,,,,,,50910|50911|51594|51595|51596,,,ts,,0,none,check,
ck_tested,Creaatine,lab,,,,,,,,,,,,,cpk|cpk-mb|cpk-mb index,,,ts,,0,none,check,
cl_tested,,,,,,,,,,,,,,,50806|50839|50902|51013|51030|51050|51062|51078|51784|51813|52434|52535,,,ts,,0,none,check,
hct,Hematocrit,hematology,%,15,60,hematocrit,4151358,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51221,itm_itm,d_labitems,ts,ricu,0,none,,
cl_bg,Chloride,blood gas,mEq/L,,,chloride,,miiv_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50806|52434,itm_itm,d_labitems,ts,mimic-me,0,none,check,
crea_tested,,,,,,,,,,,,,,,,,,ts,,0,none,check,to be added to ck instead and change
crea_tested,,,,,,,,,,,,,,creatinine|urinary creatinine,,,,ts,,0,none,check,
eos_tested,,,,,,,,,,,,,,,51114|51199|51200|51347|51368|51419|51444|51474|52052|52073|52209|52255|52256|52296|52350|52379,,,ts,,0,none,,
eos_tested,,,,,,,,,,,,,,,51114|51199|51200|51347|51368|51419|51444|51474|52052|52073|52209|52255|52256|52296|52350|52379,,,ts,,0,none,check,
esr_tested,,,,,,,,,,,,,,,,,,ts,,0,none,,
esr,,,,,,,,eicu_coh,lab,,,,,,esr,,,ts,,0,none,,
etco2,Endtidal CO2,vitals,mmHg,,,,4353940,eicu_coh,vitalperiodic,,etco2,,observationoffset,col,NA,col_itm,,ts,me,0,none,,
hbco,Carboxyhemoglobin,blood gas,,,,carboxyhemoglobin,,miiv_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50805,itm_itm,d_labitems,ts,me,0,none,,
hct,Hematocrit,hematology,%,15,60,hematocrit,4151358,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51221,itm_itm,d_labitems,ts,ricu,0,none,,
hct_tested,,,,,,,,,,,,,,,,,,ts,,0,none,,
hgb,Hemoglobin,hematology,g/dL,4,18,hemoglobin,4118981,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51222,itm_itm,d_labitems,ts,ricu,0,none,check,
hgb,Hemoglobin,hematology,g/dL,4,18,hemoglobin,4118981,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51222,itm_itm,d_labitems,ts,ricu,0,none,check,
inr_pt,Prothrombin Time/International Normalized Ratio,hematology,NA,NA,NA,prothrombin time/international normalized ratio,4306239,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51237,itm_itm,d_labitems,ts,ricu,0,none,,
inr_pt,Prothrombin Time/International Normalized Ratio,hematology,NA,NA,NA,prothrombin time/international normalized ratio,4306239,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51237,itm_itm,d_labitems,ts,ricu,0,none,,
